"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C2";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C4";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"JP1";"";"HEADER-1X576MIL";"1X05_ROUND_76";"PIN HEADER";"";
"U$5";"AKU350-MEMS-MIC";"AKU350-MEMS-MIC";"AKU350-MEMS-MIC";"";"";
"U$12";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
"U2";"MIC5225-1.8";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";
